plant_id,meter_id,meter_reading,created_at,data_availability,guid,date
900004,910005,325589482.0,2025-10-23 09:00:10.000000 UTC,1,plant-guid-00000133,2025-10-23 09:00:10.000000 UTC
900004,910003,314509530.0,2025-10-23 09:00:10.000000 UTC,1,plant-guid-00000134,2025-10-23 09:00:10.000000 UTC
900003,910001,100302781.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000135,2025-10-23 08:00:10.000000 UTC
900003,910000,208484921.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000136,2025-10-23 08:00:10.000000 UTC
900003,910004,105785070.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000137,2025-10-23 08:00:10.000000 UTC
900002,910002,590695687.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000138,2025-10-23 08:00:10.000000 UTC
900005,910007,238078687.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000139,2025-10-23 08:00:10.000000 UTC
900005,910006,233665171.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000140,2025-10-23 08:00:10.000000 UTC
900001,910008,509163500.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000141,2025-10-23 08:00:10.000000 UTC
900004,910003,314486979.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000142,2025-10-23 08:00:10.000000 UTC
900004,910005,325509880.0,2025-10-23 08:00:10.000000 UTC,1,plant-guid-00000143,2025-10-23 08:00:10.000000 UTC
900003,910000,208484921.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000144,2025-10-23 07:00:10.000000 UTC
900003,910001,100302781.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000145,2025-10-23 07:00:10.000000 UTC
900003,910004,105785070.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000146,2025-10-23 07:00:10.000000 UTC
900002,910002,590524687.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000147,2025-10-23 07:00:10.000000 UTC
900005,910007,238027187.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000148,2025-10-23 07:00:10.000000 UTC
900005,910006,233611296.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000149,2025-10-23 07:00:10.000000 UTC
900001,910008,509071875.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000150,2025-10-23 07:00:10.000000 UTC
900004,910003,314445722.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000151,2025-10-23 07:00:10.000000 UTC
900004,910005,325492266.0,2025-10-23 07:00:10.000000 UTC,1,plant-guid-00000152,2025-10-23 07:00:10.000000 UTC
900003,910000,207842703.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000153,2025-10-22 01:00:10.000000 UTC
900003,910001,100033054.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000154,2025-10-22 01:00:10.000000 UTC
900003,910004,105449421.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000155,2025-10-22 01:00:10.000000 UTC
900002,910002,589022937.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000156,2025-10-22 01:00:10.000000 UTC
900005,910007,237361281.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000157,2025-10-22 01:00:10.000000 UTC
900005,910006,232928859.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000158,2025-10-22 01:00:10.000000 UTC
900001,910008,507572343.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000159,2025-10-22 01:00:10.000000 UTC
900004,910003,313030318.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000160,2025-10-22 01:00:10.000000 UTC
